title;user_score;year;kp_score;kp_votes;imdb_score;imdb_votes;has_crime;has_psyhology;has_comedy;has_mystic;has_romantic_tension
Чужие деньги;8.3;0;0;0;0;0;0;0;0;0;0
Триггер ;8.22;0;0;0;0;0;0;0;0;0;0
Аутсорс;8.15;0;0;0;0;0;0;0;0;0;0
Чернобыль зона отчуждения;8.07;0;0;0;0;0;0;0;0;0;0
Игра на выживание;7.99;0;0;0;0;0;0;0;0;0;0
Хрустальный ;7.92;0;0;0;0;0;0;0;0;0;0
Слово пацана;7.84;0;0;0;0;0;0;0;0;0;0
Резервация;7.76;0;0;0;0;0;0;0;0;0;0
Бывшие;7.69;0;0;0;0;0;0;0;0;0;0
Мажор;7.61;0;0;0;0;0;0;0;0;0;0
Фишшер;7.53;0;0;0;0;0;0;0;0;0;0
Оффлайн;7.46;0;0;0;0;0;0;0;0;0;0
Престиж;7.38;0;0;0;0;0;0;0;0;0;0
Жизнь по вызову;7.3;0;0;0;0;0;0;0;0;0;0
Нулевой пациент;7.23;0;0;0;0;0;0;0;0;0;0
Лихие;7.15;0;0;0;0;0;0;0;0;0;0
Эпидемия;7.07;0;0;0;0;0;0;0;0;0;0
Плейлист волонтёра;6.99;0;0;0;0;0;0;0;0;0;0
Хирург;6.92;0;0;0;0;0;0;0;0;0;0
Нам Покер;6.84;0;0;0;0;0;0;0;0;0;0
Золотое Дно ;6.76;0;0;0;0;0;0;0;0;0;0
Подслушано в Рыбинске;6.69;0;0;0;0;0;0;0;0;0;0
Топпи ;6.61;0;0;0;0;0;0;0;0;0;0
Фарма;6.53;0;0;0;0;0;0;0;0;0;0
Химмера ;6.46;0;0;0;0;0;0;0;0;0;0
Черная весна;6.38;0;0;0;0;0;0;0;0;0;0
Контейнер ;6.3;0;0;0;0;0;0;0;0;0;0
Как приручить лису;6.23;0;0;0;0;0;0;0;0;0;0
Калимба;6.15;0;0;0;0;0;0;0;0;0;0
Урок;6.07;0;0;0;0;0;0;0;0;0;0
Haappy End;6;0;0;0;0;0;0;0;0;0;0
Индентификация ;5.92;0;0;0;0;0;0;0;0;0;0
Закон каменных джунглей;5.84;0;0;0;0;0;0;0;0;0;0
Трасса;5.77;0;0;0;0;0;0;0;0;0;0
Ивановы Ивановы;5.69;0;0;0;0;0;0;0;0;0;0
Дети перемен;5.61;0;0;0;0;0;0;0;0;0;0
Цикады;5.54;0;0;0;0;0;0;0;0;0;0
Переговорщик;5.46;0;0;0;0;0;0;0;0;0;0
Жить жизнь;5.38;0;0;0;0;0;0;0;0;0;0
Обнальшик;5.31;0;0;0;0;0;0;0;0;0;0
Обоюдное согласие;5.23;0;0;0;0;0;0;0;0;0;0
Я знаю кто тебя убил;5.15;0;0;0;0;0;0;0;0;0;0
Виноделы;5.07;0;0;0;0;0;0;0;0;0;0
Бар один звонок ;5;0;0;0;0;0;0;0;0;0;0
Псих;4.92;0;0;0;0;0;0;0;0;0;0
Без правил;4.84;0;0;0;0;0;0;0;0;0;0
Камбэк;4.77;0;0;0;0;0;0;0;0;0;0
Неверные;4.69;0;0;0;0;0;0;0;0;0;0
Полёт;4.61;0;0;0;0;0;0;0;0;0;0
Ласт Квест;4.54;0;0;0;0;0;0;0;0;0;0
Между нами химия;4.46;0;0;0;0;0;0;0;0;0;0
Против всех;4.38;0;0;0;0;0;0;0;0;0;0
Химичка;4.31;0;0;0;0;0;0;0;0;0;0
Почка;4.23;0;0;0;0;0;0;0;0;0;0
Санкционер;4.15;0;0;0;0;0;0;0;0;0;0
Открытый брак;4.08;0;0;0;0;0;0;0;0;0;0
апоп;4;0;0;0;0;0;0;0;0;0;0
