title	user_score	year	kp_score	kp_votes	imdb_score	imdb_votes	has_crime	has_psychology	has_comedy	has_relationships	has_love_tension
Чужие деньги	8,3	2025	8	128536	6,3	141	1	0	0	0	1
Триггер	8,22	2018	8,5	2000000	7,4	1300	0	1	0	0	0
Аутсорс	8,15	2025	7,8	209000	7,3	988	1	1	0	0	0
Чернобыль зона отчуждения	8,07	2014	7,7	278000	6,6	1800	0	0	0	0	0
Игра на выживание	7,99	2020	7,5	130885	7,1	902	0	0	0	0	0
Хрустальный	7,92	2021	8,2	317000	7,7	813	1	1	0	0	0
Слово пацана	7,84	2023	8,1	1027153	7,6	7000	1	0	0	0	0
Фарма	6,53	2024	7,3	45000	6,3	59	0	0	1	0	0
Химмера	6,46	2022	7,7	52175	7,1	195	1	1	0	0	1
Санкционер	4,15	2025	7,5	220000	5,1	69	0	0	1	0	0
Открытый брак	4,08	2023	7,3	80000	6,4	288	0	0	0	1	0
